Network,CCID,Region
Telkom,89270200190000467456,KZN
Telkom,89270200190000467340,KZN
Telkom,89270200190000467084,KZN
Telkom,89270200190000467076,KZN
Telkom,89270200190000467381,KZN
Telkom,89270200190000467357,KZN
Telkom,89270200190000467415,KZN
Telkom,89270200190000467175,KZN
Telkom,89270200190000467431,KZN
Telkom,89270200190000467449,KZN
Telkom,89270200190000467134,KZN
Telkom,89270200190000467142,KZN
Telkom,89270200190000467316,KZN
Telkom,89270200190000467068,KZN
Telkom,89270200190000467167,KZN
Telkom,89270200190000467266,KZN
Telkom,89270200190000467258,KZN
Telkom,89270200190000467027,KZN
Telkom,89270200190000467043,KZN
Telkom,89270200190000467498,KZN
Telkom,89270200190000467217,KZN
Telkom,89270200190000467050,KZN
Telkom,89270200190000467241,KZN
Telkom,89270200190000467332,KZN
Telkom,89270200190000467472,KZN
Telkom,89270200190000467126,KZN
Telkom,89270200190000467035,KZN
Telkom,89270200190000467407,KZN
Telkom,89270200190000467209,KZN
Telkom,89270200190000467480,KZN
Telkom,89270200190000467282,KZN
Telkom,89270200190000467324,KZN
Telkom,89270200190000467365,KZN
Telkom,89270200190000467373,KZN
Telkom,89270200190000467464,KZN
Telkom,89270200190000467290,KZN
Telkom,89270200190000467225,KZN
Telkom,89270200190000467019,KZN
Telkom,89270200190000467399,KZN
Telkom,89270200190000467233,KZN
Telkom,89270200190000467183,KZN
Telkom,89270200190000467092,KZN
Telkom,89270200190000467308,KZN
Telkom,89270200190000467001,KZN
Telkom,89270200190000467100,KZN
Telkom,89270200190000467423,KZN
Telkom,89270200190000467118,KZN
Telkom,89270200190000467274,KZN
Telkom,89270200190000467191,KZN
Telkom,89270200190000467159,KZN
Telkom,89270200190000937565,KZN
Telkom,89270200190000937557,KZN
Telkom,89270200190000937730,KZN
Telkom,89270200190000937532,KZN
Telkom,89270200190000937607,KZN
Telkom,89270200190000937979,KZN
Telkom,89270200190000937789,KZN
Telkom,89270200190000937706,KZN
Telkom,89270200190000937946,KZN
Telkom,89270200190000937516,KZN
Telkom,89270200190000937680,KZN
Telkom,89270200190000937748,KZN
Telkom,89270200190000937821,KZN
Telkom,89270200190000937961,KZN
Telkom,89270200190000937953,KZN
Telkom,89270200190000937813,KZN
Telkom,89270200190000937839,KZN
Telkom,89270200190000937896,KZN
Telkom,89270200190000937755,KZN
Telkom,89270200190000937540,KZN
Telkom,89270200190000937631,KZN
Telkom,89270200190000937763,KZN
Telkom,89270200190000937904,KZN
Telkom,89270200190000937623,KZN
Telkom,89270200190000937581,KZN
Telkom,89270200190000937912,KZN
Telkom,89270200190000937714,KZN
Telkom,89270200190000937698,KZN
Telkom,89270200190000937508,KZN
Telkom,89270200190000937573,KZN
Telkom,89270200190000937938,KZN
Telkom,89270200190000937615,KZN
Telkom,89270200190000937888,KZN
Telkom,89270200190000937599,KZN
Telkom,89270200190000937854,KZN
Telkom,89270200190000937722,KZN
Telkom,89270200190000937862,KZN
Telkom,89270200190000937664,KZN
Telkom,89270200190000937870,KZN
Telkom,89270200190000937920,KZN
Telkom,89270200190000937524,KZN
Telkom,89270200190000937797,KZN
Telkom,89270200190000937771,KZN
Telkom,89270200190000937805,KZN
Telkom,89270200190000937656,KZN
Telkom,89270200190000937649,KZN
Telkom,89270200190000937995,KZN
Telkom,89270200190000937987,KZN
Telkom,89270200190000937672,KZN
Telkom,89270200190000937847,KZN
Telkom,89270200190000465682,KZN
Telkom,89270200190000465898,KZN
Telkom,89270200190000465914,KZN
Telkom,89270200190000465633,KZN
Telkom,89270200190000465567,KZN
Telkom,89270200190000465690,KZN
Telkom,89270200190000465674,KZN
Telkom,89270200190000465922,KZN
Telkom,89270200190000465815,KZN
Telkom,89270200190000465856,KZN
Telkom,89270200190000465724,KZN
Telkom,89270200190000465872,KZN
Telkom,89270200190000465534,KZN
Telkom,89270200190000465799,KZN
Telkom,89270200190000465740,KZN
Telkom,89270200190000465906,KZN
Telkom,89270200190000465625,KZN
Telkom,89270200190000465880,KZN
Telkom,89270200190000465583,KZN
Telkom,89270200190000465989,KZN
Telkom,89270200190000465765,KZN
Telkom,89270200190000465591,KZN
Telkom,89270200190000465807,KZN
Telkom,89270200190000465500,KZN
Telkom,89270200190000465849,KZN
Telkom,89270200190000465641,KZN
Telkom,89270200190000465781,KZN
Telkom,89270200190000465948,KZN
Telkom,89270200190000465617,KZN
Telkom,89270200190000465518,KZN
Telkom,89270200190000465971,KZN
Telkom,89270200190000465773,KZN
Telkom,89270200190000465831,KZN
Telkom,89270200190000465864,KZN
Telkom,89270200190000465963,KZN
Telkom,89270200190000465666,KZN
Telkom,89270200190000465559,KZN
Telkom,89270200190000465930,KZN
Telkom,89270200190000465732,KZN
Telkom,89270200190000465609,KZN
Telkom,89270200190000465757,KZN
Telkom,89270200190000465823,KZN
Telkom,89270200190000465955,KZN
Telkom,89270200190000465526,KZN
Telkom,89270200190000465658,KZN
Telkom,89270200190000465575,KZN
Telkom,89270200190000465708,KZN
Telkom,89270200190000465716,KZN
Telkom,89270200190000465997,KZN
Telkom,89270200190000465542,KZN
Telkom,89270200190001407790,KZN
Telkom,89270200190001407543,KZN
Telkom,89270200190001407709,KZN
Telkom,89270200190001407766,KZN
Telkom,89270200190001407642,KZN
Telkom,89270200190001407857,KZN
Telkom,89270200190001407733,KZN
Telkom,89270200190001407907,KZN
Telkom,89270200190001407592,KZN
Telkom,89270200190001407535,KZN
Telkom,89270200190001407915,KZN
Telkom,89270200190001407865,KZN
Telkom,89270200190001407519,KZN
Telkom,89270200190001407683,KZN
Telkom,89270200190001407568,KZN
Telkom,89270200190001407923,KZN
Telkom,89270200190001407899,KZN
Telkom,89270200190001407956,KZN
Telkom,89270200190001407691,KZN
Telkom,89270200190001407725,KZN
Telkom,89270200190001407576,KZN
Telkom,89270200190001407816,KZN
Telkom,89270200190001407840,KZN
Telkom,89270200190001407634,KZN
Telkom,89270200190001407758,KZN
Telkom,89270200190001407550,KZN
Telkom,89270200190001407964,KZN
Telkom,89270200190001407832,KZN
Telkom,89270200190001407949,KZN
Telkom,89270200190001407626,KZN
Telkom,89270200190001407808,KZN
Telkom,89270200190001407717,KZN
Telkom,89270200190001407667,KZN
Telkom,89270200190001407584,KZN
Telkom,89270200190001407675,KZN
Telkom,89270200190001407980,KZN
Telkom,89270200190001407501,KZN
Telkom,89270200190001407600,KZN
Telkom,89270200190001407972,KZN
Telkom,89270200190001407998,KZN
Telkom,89270200190001407931,KZN
Telkom,89270200190001407527,KZN
Telkom,89270200190001407824,KZN
Telkom,89270200190001407881,KZN
Telkom,89270200190001407873,KZN
Telkom,89270200190001407782,KZN
Telkom,89270200190001407618,KZN
Telkom,89270200190001407741,KZN
Telkom,89270200190001407774,KZN
Telkom,89270200190001407659,KZN
